,index_x,term,name,crn,course_num,section,credits,time,prof,index_y,gpa,enrollment
17130,17130,201505,Calculus III,54220,MATH 2401,R,4.0,6:30 pm - 7:25 pm,John   McCuan ,,,
17131,17131,201505,Differential Equations,50482,MATH 2403,A1,4.0,9:20 am - 10:30 am,Jeffrey   Geronimo ,,,
17132,17132,201505,Differential Equations,50483,MATH 2403,A2,4.0,9:20 am - 10:30 am,Jeffrey   Geronimo ,,,
17133,17133,201505,Differential Equations,50484,MATH 2403,A3,4.0,9:20 am - 10:30 am,Jeffrey   Geronimo ,,,
17134,17134,201505,Differential Equations,50485,MATH 2403,B1,4.0,12:00 pm - 1:10 pm,Seong Jun   Kim ,,,
17135,17135,201505,Differential Equations,50486,MATH 2403,B2,4.0,12:00 pm - 1:10 pm,Seong Jun   Kim ,,,
17136,17136,201505,Differential Equations,50864,MATH 2403,B3,4.0,12:00 pm - 1:10 pm,Seong Jun   Kim ,,,
17137,17137,201505,Differential Equations,56401,MATH 2403,C1,4.0,1:20 pm - 2:30 pm,Seong Jun   Kim ,,,
17138,17138,201505,Differential Equations,56402,MATH 2403,C2,4.0,1:20 pm - 2:30 pm,Seong Jun   Kim ,,,
17139,17139,201505,Differential Equations,56403,MATH 2403,C3,4.0,1:20 pm - 2:30 pm,Seong Jun   Kim ,,,
17140,17140,201505,Differential Equations,54188,MATH 2403,R,4.0,4:30 pm - 6:25 pm,John   McCuan ,,,
17141,17141,201505,Linear and Discrete Math,50487,MATH 2602,A1,4.0,9:20 am - 10:30 am,Ruidong   Wang ,,,
17142,17142,201505,Linear and Discrete Math,50676,MATH 2602,A2,4.0,9:20 am - 10:30 am,Ruidong   Wang ,,,
17143,17143,201505,Calc III for Comput Sci,51106,MATH 2605,A,4.0,10:40 am - 11:50 am,Romeo Olivier  Awi ,,,
