"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Applied Physiology - APPH 4802 GM,3,3,,,,,,,,3.50 6
Applied Physiology - APPH 6202 A,15,3,,,,,,,,3.83 18
Applied Physiology - APPH 6209 A,,,,,,,14,,,14
Applied Physiology - APPH 6211 A,9,8,2,,,,,,,1 3.37 20
Applied Physiology - APPH 6213 A,1,,1,,,,,,,3.00 2
Applied Physiology - APPH 6214 YC,1,,,,,,,,,4.00 1
Applied Physiology - APPH 6216 A,4,,,,,,,,,4.00 4
Applied Physiology - APPH 6231 A,2,,,,,,,,1,4.00 3
Applied Physiology - APPH 6400 A,3,1,1,,,,,,,3.40 5
Applied Physiology - APPH 6895 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6971 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6975 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6982 A,14,,,,,,,,,4.00 14
Applied Physiology - APPH 6985 A,13,1,,,,,,,,3.93 14
Applied Physiology - APPH 6997 A,,,,,,,14,,,14
Applied Physiology - APPH 6999 A,,,,,,,14,,,14
Applied Physiology - APPH 6999 C,,,,,,,14,,,14
Applied Physiology - APPH 8000 A,4,,,,,,,,,4.00 4
Applied Physiology - APPH 8010 A,,,,,,,14,,,14
Applied Physiology - APPH 8801 A,2,,,,,,,,,4.00 2
Applied Physiology - APPH 8903 MS,1,,,,,,,,,4.00 1
Applied Physiology - APPH 9000 BP,,,,,,,2,,,2
Applied Physiology - APPH 9000 EB,,,,,,,1,,,1
Applied Physiology - APPH 9000 LW,,,,,,,4,,,4
Applied Physiology - APPH 9000 MMS,,,,,,,1,,,1
Applied Physiology - APPH 9000 RN,,,,,,,1,,,1
Applied Physiology - APPH 9000 RN,A,B,C,D,F,I,S,U,V,W Aver. Tota
Applied Physiology - APPH 9000 SS,,,,,,,1,,,1
Applied Physiology - APPH 9000 TB,,,,,,,1,,,1
Applied Physiology - APPH 9000 YC,,,,,,,5,,,5
Applied Physiology - APPH 9000 YJ,,,,,,,2,,,2
Applied Systems Engineering - ASE 6001 Q,26,2,,,,,,,,3.93 28
Applied Systems Engineering - ASE 6004 Q,29,1,,,,,,,,3.97 30
Applied Systems Engineering - ASE 6006 Q,19,2,1,,,,,,,3.82 22
Applied Systems Engineering - ASE 6111 Q,9,1,,,,,,,,3.90 10
Applied Systems Engineering - ASE 6121 Q,4,2,,,,,,,,3.67 6
Applied Systems Engineering - ASE 8803 Q,5,1,,,,,,,,3.83 6
Arabic - ARBC 1001 B,4,9,1,,,,1,,1,3.21 16
Arabic - ARBC 1001 E,11,4,2,,,,1,,2,3 3.53 23
Arabic - ARBC 2001 D,3,2,,,,,1,,,1 3.60 7
Architecture - ARCH 2011 HD,6,1,4,,,,,,,3.18 11
Architecture - ARCH 2011 MR,4,8,,,,,,,,3.33 12
Architecture - ARCH 2011 SB,6,3,2,,,,,,,3.36 11
Architecture - ARCH 2111 LH,8,12,10,6,,,8,,1,14 2.61 59
Architecture - ARCH 2111 LH1,11,11,5,3,1,,,,,6 2.90 37
Architecture - ARCH 2115 FP,10,1,,,,,1,,,3.91 12
Architecture - ARCH 2211 JL,21,13,,1,1,,,,,3.44 36
Architecture - ARCH 2472 SO,19,10,4,,,,,,,1 3.45 34
Architecture - ARCH 3011 HH,5,3,,1,,,,,,3.33 9
Architecture - ARCH 3011 JK,6,4,1,,,,,,,3.45 11
Architecture - ARCH 3011 JL,5,3,2,,,,,,,3.30 10
Architecture - ARCH 3231 JB,14,18,10,3,,,,,,5 2.96 50
Architecture - ARCH 3241 NC,9,6,6,,,,,,,1 3.14 22
Architecture - ARCH 4011 DB,5,,2,,,,,,,3.43 7
Architecture - ARCH 4011 LS,9,,,,,,,,,4.00 9
Architecture - ARCH 4011 R,9,,,,,,,,,4.00 9
Architecture - ARCH 4107 LS,6,2,,,,,,,,3.75 8
Architecture - ARCH 4151 RD,14,,,,,,,,,4.00 14
Architecture - ARCH 4315 SR,4,3,,,,,,,,3.57 7
Architecture - ARCH 4411 LD,9,2,,,,,,,1,3.82 12
Architecture - ARCH 4803 AE,3,,,,,,,,,4.00 3
Architecture - ARCH 4803 BF,2,2,,,,,,,,3.50 4
Architecture - ARCH 4803 CZ,3,1,,,,,,,,3.75 4
Architecture - ARCH 4803 DR,1,,,,,,,,,4.00 1
Architecture - ARCH 4803 LS,3,1,,,,,,,,3.75 4
Architecture - ARCH 4803 R,9,,,,,,,,,4.00 9
